20 10 
41 44 56 84 7 19 66 21 64 93 
83 80 49 80 47 85 99 57 69 5 
51 22 19 1 92 14 9 39 65 91 
6 72 38 8 25 26 39 79 49 49 
7 85 9 80 94 67 75 77 30 31 
14 4 30 39 53 27 96 83 27 58 
22 56 53 27 83 73 47 24 50 12 
17 50 98 76 39 10 35 91 6 81 
43 4 88 21 19 83 85 45 94 29 
2 84 96 53 18 55 72 89 86 35 
2 6 99 61 74 100 53 2 28 5 
57 43 36 53 16 78 6 42 54 48 
8 65 15 45 98 16 55 40 23 95 
37 19 36 34 45 43 100 59 92 66 
82 66 29 49 21 17 54 5 69 25 
50 82 67 73 14 99 91 40 4 61 
21 8 12 41 93 17 56 25 83 30 
71 29 30 64 20 62 45 40 93 7 
64 13 89 52 98 78 24 3 42 33 
80 50 97 31 27 20 46 41 27 18 
