100 20 
53 20 65 63 80 91 60 98 24 71 25 81 86 56 29 92 55 15 36 6 
9 78 14 34 53 56 11 40 77 49 32 48 11 73 34 89 55 28 43 22 
96 79 22 80 88 64 24 69 33 100 99 34 46 55 9 100 19 1 20 48 
43 67 95 40 20 49 43 43 69 81 1 80 68 41 19 97 7 69 52 54 
65 46 77 72 87 16 50 13 82 24 21 47 57 80 74 44 47 63 90 23 
5 17 69 29 52 31 96 29 40 6 14 32 23 100 39 79 85 49 53 69 
6 87 96 84 99 12 88 41 78 28 3 61 72 10 67 63 22 18 10 39 
34 78 61 14 7 1 85 11 4 83 94 87 61 91 8 54 97 65 4 59 
28 34 16 91 26 8 17 14 43 39 28 56 7 34 8 71 76 6 80 16 
93 1 10 91 93 60 34 52 50 12 99 31 1 59 50 72 38 52 40 93 
66 16 65 80 65 80 46 7 46 1 18 11 1 15 42 17 86 10 28 29 
72 29 24 60 43 11 100 60 60 19 80 39 89 65 30 72 97 21 74 72 
43 90 2 90 18 64 23 5 38 25 12 50 51 43 15 27 1 16 40 55 
40 47 11 46 87 92 10 45 46 31 59 16 33 96 29 29 68 14 4 4 
16 13 82 80 41 75 41 23 4 58 11 44 61 21 26 25 88 22 40 43 
28 22 42 27 45 88 15 33 46 62 17 51 21 99 66 66 2 19 3 87 
7 8 38 45 45 96 90 79 84 99 26 96 80 64 14 79 31 12 5 67 
83 78 14 90 13 77 87 42 34 96 58 66 26 12 94 100 21 84 24 21 
42 28 1 95 45 45 54 96 77 10 8 16 98 84 36 16 13 96 28 77 
71 20 9 21 46 93 44 75 13 31 93 43 43 69 72 53 97 8 43 37 
47 60 87 91 74 89 72 22 84 82 56 36 87 38 24 89 32 90 92 20 
78 20 15 83 68 56 21 25 30 68 99 91 55 45 12 23 3 11 24 100 
81 61 80 88 80 83 100 86 71 92 63 79 36 54 51 7 4 29 81 71 
37 11 54 35 77 5 17 63 6 63 96 10 51 92 29 13 59 6 5 5 
38 60 33 4 23 7 57 38 90 95 12 77 93 57 15 76 77 28 77 6 
7 47 84 29 3 59 18 13 83 93 60 38 93 65 30 84 46 30 72 15 
62 17 66 76 94 61 96 61 64 56 2 86 46 44 32 19 17 80 85 16 
58 87 60 51 57 43 65 99 21 95 11 15 94 11 44 66 81 49 12 33 
27 98 90 55 73 35 75 12 100 40 66 22 22 21 33 46 1 43 25 78 
42 14 19 9 17 32 82 25 41 24 92 41 48 43 77 68 82 6 74 12 
42 71 97 79 67 19 74 53 90 63 83 58 90 51 28 21 45 91 83 52 
40 40 93 60 42 15 37 83 2 43 18 43 30 97 85 15 91 81 73 29 
54 4 72 28 49 90 68 64 4 5 35 4 91 66 15 94 70 1 48 18 
14 25 14 37 8 90 35 29 56 60 83 76 100 61 26 39 64 87 16 72 
1 29 42 3 76 33 61 41 43 53 86 76 37 59 80 85 6 95 88 31 
14 95 23 72 55 66 74 79 39 41 7 37 36 98 34 57 59 55 55 70 
58 52 79 100 91 42 70 81 20 73 2 71 20 12 20 25 92 8 25 27 
81 50 72 56 71 83 43 47 1 44 58 45 24 23 59 23 18 38 3 70 
88 97 34 38 41 35 89 90 80 73 60 46 13 38 14 64 38 14 72 44 
14 14 27 33 8 46 21 68 8 28 21 23 94 89 51 64 53 1 70 5 
62 62 94 49 91 74 21 84 91 16 93 94 31 42 48 51 38 9 58 9 
94 83 95 28 77 36 90 93 87 61 55 66 11 22 72 39 16 35 41 71 
