10 20 
57 96 78 42 2 62 21 17 26 15 77 91 29 61 8 26 28 86 14 8 
65 13 55 38 25 95 57 23 51 32 72 14 90 58 4 82 92 20 19 78 
38 59 61 100 89 86 35 3 90 96 85 67 79 49 31 5 51 41 76 94 
100 88 100 2 20 18 5 34 21 87 7 52 96 19 82 81 25 79 22 83 
95 29 60 4 35 31 89 7 6 96 91 44 14 68 53 23 34 7 45 64 
26 31 28 49 14 26 42 55 26 94 11 11 47 27 43 26 84 94 41 26 
52 53 1 39 53 85 9 59 55 18 48 6 100 74 92 94 82 64 75 93 
30 22 93 57 18 28 6 41 89 92 97 52 63 43 23 7 59 84 75 4 
82 41 56 47 47 56 92 18 34 96 35 80 51 78 9 89 10 7 13 53 
94 99 96 89 86 40 14 70 99 30 64 87 58 89 65 11 1 18 58 21 
