20 20 
11 66 59 56 63 83 97 3 9 93 45 17 41 92 81 98 79 39 52 54 
31 47 28 22 44 73 18 61 37 7 65 84 58 43 92 6 40 76 6 39 
58 3 77 26 81 97 88 88 92 94 58 28 26 43 56 71 60 2 87 39 
49 100 63 55 44 65 74 48 34 89 99 73 88 67 19 77 43 80 21 100 
95 62 79 64 51 26 36 97 85 37 19 70 56 68 53 73 77 86 8 39 
21 89 16 48 23 19 96 94 45 22 37 18 30 91 19 12 44 85 5 60 
72 94 58 96 76 93 21 26 82 15 81 21 63 25 68 64 80 1 56 28 
54 78 41 44 9 84 55 88 8 60 55 28 42 21 50 51 92 52 63 74 
63 55 84 61 65 70 84 57 35 35 73 41 15 85 62 87 87 21 90 43 
18 30 29 40 11 28 54 31 52 73 34 31 76 16 44 23 25 29 16 2 
46 38 17 33 33 58 18 96 22 42 91 77 27 84 65 76 2 26 91 8 
29 89 90 30 49 67 11 76 38 76 53 9 86 46 47 64 59 94 83 65 
38 95 97 45 71 41 85 28 20 88 77 50 42 32 98 41 13 36 99 26 
55 54 25 61 22 25 78 98 77 12 93 85 26 66 13 59 13 85 87 66 
57 10 48 22 24 76 89 93 44 52 57 29 23 44 67 47 77 53 68 45 
78 56 43 1 25 34 36 19 65 7 43 22 83 12 68 98 21 7 87 56 
9 37 98 2 90 47 10 92 39 74 76 69 59 2 43 72 23 65 89 8 
16 41 6 78 13 100 98 52 90 98 31 10 29 62 87 62 17 82 26 67 
42 51 33 90 23 61 99 95 13 68 14 10 15 59 91 86 85 69 28 43 
28 15 31 26 61 5 2 54 28 5 40 71 93 22 21 45 100 45 83 51 
