100 10 
16 13 15 40 89 37 85 91 5 92 
59 66 62 34 41 96 48 12 46 85 
93 92 4 50 33 77 29 51 7 70 
23 86 93 9 34 40 66 37 95 68 
77 22 94 36 28 6 6 56 39 73 
27 32 74 85 10 90 3 90 44 31 
65 31 77 87 52 56 21 24 82 1 
35 63 80 61 32 12 23 22 25 56 
65 80 70 48 33 36 42 52 9 78 
52 79 89 88 92 46 54 84 25 10 
73 35 50 86 77 86 26 98 89 44 
19 84 65 2 38 74 45 54 33 20 
28 20 85 2 63 68 67 41 28 75 
53 96 87 54 92 11 28 17 71 9 
30 2 93 23 39 77 92 23 96 25 
88 30 1 30 71 70 68 35 12 76 
92 3 95 77 91 81 77 84 13 29 
88 63 43 65 45 81 37 18 100 80 
92 4 30 36 69 32 65 31 20 91 
50 78 89 6 42 91 59 65 31 62 
78 33 3 97 3 34 64 45 18 67 
62 66 4 75 84 33 12 54 100 95 
54 34 57 11 37 45 20 99 52 56 
30 70 63 93 45 56 47 50 10 23 
91 80 24 41 64 24 78 53 29 45 
67 1 10 36 30 94 61 94 18 26 
93 51 91 89 49 57 46 72 5 66 
80 29 59 40 17 82 62 54 86 17 
15 76 40 65 22 95 22 98 55 4 
13 5 91 68 65 66 86 14 88 38 
2 81 80 63 11 55 74 69 85 30 
6 49 79 51 47 67 31 8 46 96 
83 4 59 75 68 58 6 75 32 74 
47 77 56 91 29 61 72 27 99 58 
80 44 53 51 49 64 29 99 4 64 
27 53 28 58 42 82 9 56 64 30 
3 36 100 24 48 87 96 26 93 96 
33 71 43 92 65 70 22 100 75 83 
35 100 83 64 46 27 20 55 2 77 
79 95 80 90 37 39 73 44 1 93 
61 94 18 46 35 6 13 86 30 50 
30 68 99 45 79 24 34 21 85 51 
57 55 85 23 18 21 44 6 50 5 
95 37 21 23 61 3 32 13 87 60 
74 44 14 39 54 98 67 57 94 44 
54 10 61 82 62 14 94 83 83 9 
21 39 68 79 53 80 24 35 65 35 
22 30 65 96 71 54 59 44 12 69 
52 51 75 45 49 61 34 7 89 42 
39 77 38 87 62 7 77 32 28 43 
50 65 96 55 90 22 71 10 12 100 
94 54 85 56 63 94 37 95 58 15 
63 83 22 31 27 37 97 69 46 46 
1 75 58 66 67 33 7 59 50 90 
24 83 91 100 80 26 10 83 54 68 
21 16 83 69 82 96 71 11 37 76 
42 82 46 91 68 27 44 78 87 95 
7 2 33 81 79 15 37 23 83 15 
74 3 93 51 29 11 11 51 55 99 
29 10 44 97 42 91 2 26 18 86 
57 22 26 100 59 53 4 84 14 100 
51 57 80 80 29 54 47 43 95 21 
20 94 51 81 83 36 11 58 13 40 
7 23 72 34 31 54 61 41 83 79 
25 15 42 38 53 75 19 1 98 19 
45 62 12 87 27 73 43 17 46 47 
90 32 40 80 37 35 13 45 84 4 
14 72 53 29 69 60 93 40 48 59 
46 95 81 95 20 39 97 61 88 27 
57 38 87 61 20 25 18 82 5 37 
73 29 67 32 41 64 73 11 86 73 
29 34 31 90 90 65 59 9 33 24 
70 57 6 29 75 1 20 40 59 6 
37 66 87 13 8 48 11 54 79 59 
67 26 37 48 81 27 93 11 10 2 
39 10 94 75 77 7 80 35 70 50 
26 22 44 9 16 52 2 1 58 94 
23 12 98 40 47 53 71 86 15 94 
65 99 90 97 14 59 89 70 3 79 
13 78 59 50 87 38 99 68 52 14 
69 14 50 96 51 61 76 35 30 62 
14 57 78 67 87 30 10 89 46 83 
38 25 31 44 40 63 33 98 48 80 
10 14 90 30 18 54 88 65 57 6 
27 81 70 47 58 8 56 11 48 53 
46 29 14 89 24 56 84 77 5 59 
99 38 13 4 28 23 57 68 95 64 
36 14 86 2 80 2 9 70 88 31 
4 96 21 5 77 60 72 86 98 22 
87 92 54 63 19 70 16 22 47 22 
17 60 69 12 1 81 71 20 79 91 
16 39 15 47 50 12 23 46 18 87 
16 94 4 77 27 40 63 70 10 22 
37 69 70 62 57 78 56 74 25 62 
77 34 49 60 89 95 95 39 34 86 
12 35 25 21 22 21 19 61 64 34 
67 43 59 85 6 89 5 100 16 41 
48 99 97 55 55 35 41 91 24 16 
25 70 69 55 74 61 16 39 63 41 
76 55 38 93 19 45 6 97 55 61 
